part_id,acc_cmd,acc_param,bbox_avg_sim
145532_70f82e64_0000,1.0,0.9070938215102975,0.9999999362579731
147235_686872f8_0000,0.25,0.13894992044851884,
148051_66cb4858_0044,1.0,0.9079365079365079,0.9999293438913126
148051_ad8f6d60_0006,0.25,0.12158461632081786,
148051_b9c68456_0000,1.0,0.901833234772324,0.9973225378663471
148098_33ec30c9_0003,0.25,0.18006318006318006,
21233_05d745b4_0015,0.25,0.07162619120811559,
21237_7887a24b_0006,0.25,0.11141696159391795,
21385_601444ba_0018,1.0,0.9076923076923077,0.9999786064444779
21636_f65686bc_0003,0.25,0.35490260812149227,
21680_360ba5c7_0011,1.0,0.8551278283867176,0.9999928626704723
21822_7d3db422_0039,1.0,0.9001481481481481,0.9999997166667746
21893_0500d043_0032,0.5,0.10188840285927664,
21900_760d2078_0000,0.25,0.2705157314304249,
21941_1a683ec2_0004,0.25,0.16766047001052262,
22025_b77024b9_0015,0.5,0.08714932126696832,
22124_6f71410e_0004,0.5,0.516767114819966,
22124_6f71410e_0011,1.0,0.7871198568872988,0.999965088023461
22341_0f9c52ed_0004,0.5,0.6568230531078828,
22430_c6f08b03_0042,0.5,0.6134073617108781,
22624_7af10d7d_0004,1.0,0.6626885463285265,0.9791665069444866
23137_e55b73cb_0011,0.25,0.2612626656274357,
23144_88ca00a5_0007,0.25,0.37473714741498076,
23144_88ca00a5_0010,0.25,0.2753215868554751,
23255_972fbfe6_0014,1.0,0.9047762090717933,0.9999997111112661
23264_20be13a0_0005,0.25,0.2944640753828033,
23552_10239b96_0000,0.5,0.0676660706917893,
23910_316134bd_0014,1.0,0.750354609929078,0.5526718458835261
24032_d6172503_0023,0.5,0.04566596194503171,
24032_d6172503_0031,1.0,0.9051293690422152,0.9999787913319903
24659_d2ba8a0f_0000,1.0,0.9175257731958762,0.9999999494949529
25156_78e996ae_0001,0.5,0.01862375898664841,
25186_e5476b73_0000,0.75,0.5870307167235495,
26768_c4df841f_0012,0.25,0.14098332910214098,
26768_c4df841f_0017,0.5,0.6906990639314877,
27679_501db761_0010,0.5,0.5919682697074864,
27679_501db761_0012,1.0,0.8923621350634031,0.9999998584229594
30030_d4b0c535_0000,0.75,0.3060016906170752,
30417_0010bc7c_0018,1.0,0.575503654840435,0.5628915755943962
30418_de83ae84_0004,1.0,0.4532731376975169,0.9999944000428553
30729_b4d83b07_0002,1.0,0.903863432165319,0.9999999578347598
31136_987852a4_0006,0.5,0.6643227858697472,
31962_e5291336_0010,0.5,0.1646941984606472,
31962_e5291336_0038,1.0,0.7939339875111507,0.9999997893163016
31962_e5291336_0041,0.5,0.14910025706940874,
31962_e5291336_0045,0.5,0.2593092803395717,
33147_d7173b68_0019,0.5,0.0865294459079341,
33607_c6f31fa6_0004,1.0,0.9141824751580849,0.9986901500866502
34317_e9c65aa6_0009,1.0,0.9061566049013747,0.9999999676836171
34708_7559c801_0004,0.25,0.16307471264367815,
34781_4f8a4759_0006,0.5,0.12235145613560544,
34781_4f8a4759_0013,0.5,0.09775767112509835,
34782_b461066c_0003,0.25,0.1959276413527921,
35145_a3d7363c_0012,0.25,0.2179513673624027,
36088_1ea9c8a9_0008,0.5,0.1254883666686104,
37040_ecbcd25e_0027,1.0,0.6247544204322201,0.15522204094714828
37517_f894f8bd_0004,1.0,0.3044274480232683,0.9999971666774116
37995_1cc61263_0005,1.0,0.7159144893111639,0.8259236494344981
37995_1cc61263_0010,1.0,0.8005415162454874,0.9999960287421562
38287_88ec74de_0093,1.0,0.9166666666666666,0.9999996929295089
38739_f321c899_0018,1.0,0.9058927000879508,0.9999700830839906
39389_d641313f_0063,1.0,0.4079554189085319,0.5459057737219862
40061_d07e8764_0012,0.25,0.1921988855550793,
40072_b44084ae_0005,0.5,0.15701100856221506,
40782_3383cd58_0028,0.5,0.15656141193420578,
40887_454ffc48_0011,1.0,0.927030748049564,0.9999996382980458
40939_0bedb1ea_0000,0.25,0.07906576050540826,
40939_0bedb1ea_0009,0.0,0.08753325589238206,
40999_cad6be09_0008,0.5,0.49026108578532945,
41124_a5855c0d_0008,0.25,0.22340617662994403,
41128_ee74f244_0015,0.5,0.7538488763050788,
41227_90e1c07c_0001,1.0,0.8965827338129496,0.9999999667229109
41353_16ac5969_0019,0.75,0.6728576083414793,
41401_a4897785_0000,1.0,0.8998194945848376,0.9999997926509709
41473_c2137170_0029,1.0,0.8383303938859494,0.999999969860771
41512_c1a779f2_0005,0.25,0.33752726052675724,
41593_d3d842f7_0001,0.25,0.2786032689450223,
41648_577daf16_0002,0.25,0.13547387691874385,
41681_607f4353_0000,1.0,0.9039379474940334,0.999895430999338
41693_a737c734_0003,0.25,0.21370750134916353,
41739_1bc15d9f_0008,0.5,0.06746516744072353,
41757_c1173a7e_0006,0.0,0.10331319301507204,
41902_43d78d0f_0001,0.75,0.4397096698665418,
41917_f0c40fa1_0002,1.0,0.8643306379155435,0.9999992444457901
41970_24ba0c1b_0001,0.25,0.1696113074204947,
41978_f3c5934a_0000,0.25,0.23388683402848823,
42013_6092fa24_0000,1.0,0.9134438305709024,0.9999997644445188
42143_51b31600_0005,1.0,0.5434083601286174,0.11184408835391062
43529_4804941b_0054,0.25,0.22008513321772033,
44996_b3e9c266_0016,0.5,0.7101865136298422,
45285_dc1f2b6f_0002,0.5,0.5736248718824736,
49502_0ed856f7_0006,0.25,0.12115036231884058,
49503_e42c01c0_0006,1.0,0.9094181163767247,0.9999999333333377
49613_1b97c07b_0018,1.0,0.8921888921888922,0.9999999757142864
50001_e86a6698_0010,0.25,0.1066303809995052,
50410_f8f03667_0004,1.0,0.8953068592057761,0.9999996222225587
50479_a1f097b3_0017,1.0,0.852199413489736,0.9999996944445396
50777_2934de55_0011,1.0,0.3074314778185928,0.9333260364471966
50897_3be92e2f_0027,0.0,0.18050734312416555,
50900_0326428a_0012,0.25,0.22102820857247527,
51341_6ba06c4a_0002,1.0,0.9040118870728083,0.9999997655294299
51731_22e19a47_0031,0.25,0.25709093782096865,
51863_0b8751d1_0006,0.75,0.48445813497619716,
51864_39932fe9_0027,0.5,0.1801470588235294,
51892_6da749d8_0002,1.0,0.913239267487241,0.9999997500000929
52230_60438ea5_0013,0.5,0.7190800281624032,
52352_adac16c3_0024,0.25,0.2177283451297607,
52557_e6a00b06_0008,1.0,0.8890193775689958,0.9999998063889306
52884_c8150d6e_0000,0.25,0.0861946998966099,
53448_2f7c767c_0018,1.0,0.8970897089708971,0.9393939955555553
53472_52424457_0006,0.5,0.3425414364640884,
53822_3d84a196_0000,0.5,0.40739894953185657,
53848_7c64ed9f_0003,0.25,0.20511590727418066,
53927_ef5208b9_0003,0.5,0.20753718619554354,
54285_76f37095_0001,1.0,0.8970850684116597,0.9999994444447607
55707_c78416ed_0011,1.0,0.9142335766423357,0.9999997766271824
55707_c78416ed_0018,1.0,0.6564734895191122,0.8327463064584801
55715_525d1d3e_0000,0.25,0.28669997620747084,
55715_525d1d3e_0011,1.0,0.9035322054021965,0.9999999759405084
56344_3a89f085_0032,0.5,0.19553513746321155,
56430_4f35ba2f_0004,1.0,0.3988618727366787,0.2976791688470077
60288_015aa59d_0000,1.0,0.9131034482758621,0.9999998476191015
60293_49808d27_0000,1.0,0.9129433440810686,0.9999999755555562
60716_dcd9370c_0006,1.0,0.9019073569482289,0.999999860000027
60717_7ba1f3ab_0000,1.0,0.9155188246097337,0.9999997244445967
61767_6afe5575_0001,0.5,0.7055449330783938,
66163_10ed8c84_0000,0.75,0.3601637107776262,
70169_914780d4_0014,0.25,0.20639649260862233,
75646_4baf69b2_0010,1.0,0.9126838235294118,0.9999999655555568
76298_af8ea172_0007,1.0,0.9109274563820018,0.9999998066667102
77211_d46ae17d_0012,1.0,0.6986236355007119,0.20246418603176633
77211_d46ae17d_0014,0.5,0.76366184026156,
78880_ed3c684d_0001,1.0,0.7968963943404838,0.999999824444528
79981_7148f1e3_0000,0.25,0.09199127454035524,
80189_5bbbf853_0000,0.5,0.24084678119035224,
80490_5d5ba15f_0001,1.0,0.9098398169336385,0.9999998021164584
80491_e73dabd5_0000,0.25,0.3151428278898331,
85195_c6ef0067_0001,0.25,0.4537295865823157,
85617_4879c1a8_0002,0.5,0.04061738424045491,
89527_b3bf425d_0017,1.0,0.8926553672316384,0.9999997069597915
97732_4959b064_0000,0.0,0.13629783398432166,
